CIK,Company_Name,Filing_Year_End,Alignment_Similarity,Score_1_Fin,Score_1_Fin_Unbounded,Score_1_Text,Score_1_Text_Unbounded,Score_2_Fin_Velocity,Score_2_Fin_Directional,Score_2_Text_Velocity,Score_2_Text_Directional,Score_3_Decoupling_Distance,Score_3_Cosine_Dissimilarity,Score_3_Signed_Divergence
2098,ACME UNITED CORP,2019,0.9294,0.9435,3.1534,0.8537,2.4047,0.0,0.0,0.0,0.0,0.3758,0.0706,0.7487
2098,ACME UNITED CORP,2020,0.9466,0.9236,2.9195,0.8567,2.4214,0.0536,-0.2339,0.0657,0.0167,0.3269,0.0534,0.4981
2098,ACME UNITED CORP,2021,0.9345,0.9089,2.782,0.7399,1.9255,0.0361,-0.1376,0.1048,-0.496,0.3619,0.0655,0.8565
2098,ACME UNITED CORP,2022,0.9174,0.9046,2.7453,0.486,1.2961,0.0411,-0.0367,0.1275,-0.6293,0.4064,0.0826,1.4492
2178,"ADAMS RESOURCES & ENERGY, INC.",2019,0.9225,-0.9557,-2.341,-0.6304,-0.6132,0.0,0.0,0.0,0.0,0.3938,0.0775,-1.7278
2178,"ADAMS RESOURCES & ENERGY, INC.",2020,0.9081,0.5935,1.5245,-0.6186,-0.584,0.7776,3.8655,0.0213,0.0292,0.4287,0.0919,2.1085
2186,BK TECHNOLOGIES,2019,0.8761,0.7732,2.0424,-0.4629,-0.2516,0.0,0.0,0.0,0.0,0.4977,0.1239,2.2939
2186,BK TECHNOLOGIES,2020,0.8944,0.4493,1.2257,-0.3801,-0.1002,0.163,-0.8166,0.2221,0.1514,0.4596,0.1056,1.3259
2186,BK TECHNOLOGIES,2021,0.6142,-0.7618,-1.0008,0.9218,2.9013,0.5688,-2.2265,0.6875,3.0015,0.8784,0.3858,-3.9021
2186,BK TECHNOLOGIES,2022,0.339,-0.7764,-1.0543,0.9767,3.8311,0.0965,-0.0534,0.3626,0.9297,1.1498,0.661,-4.8853
2969,"AIR PRODUCTS & CHEMICALS, INC.",2023,0.041,0.4813,1.2871,0.9749,3.7727,0.0,0.0,0.0,0.0,1.3849,0.959,-2.4856
3570,CHENIERE ENERGY INC,2019,0.9177,0.9751,3.7812,0.982,4.0264,0.0,0.0,0.0,0.0,0.4056,0.0823,-0.2452
3570,CHENIERE ENERGY INC,2020,0.9681,0.9826,4.0523,0.9872,4.282,0.1238,0.2711,0.0874,0.2556,0.2525,0.0319,-0.2298
