CIK,Company_Name,Date,Risk_Score_100
2098,ACME UNITED CORP,20171231,100.0
2098,ACME UNITED CORP,20181231,100.0
2098,ACME UNITED CORP,20191231,100.0
2098,ACME UNITED CORP,20201231,100.0
2098,ACME UNITED CORP,20211231,100.0
2098,ACME UNITED CORP,20221231,100.0
2178,"ADAMS RESOURCES & ENERGY, INC.",20171231,100.0
2178,"ADAMS RESOURCES & ENERGY, INC.",20181231,100.0
2178,"ADAMS RESOURCES & ENERGY, INC.",20191231,100.0
2178,"ADAMS RESOURCES & ENERGY, INC.",20201231,100.0
2178,"ADAMS RESOURCES & ENERGY, INC.",20221231,100.0
2186,BK TECHNOLOGIES,20171231,100.0
2186,BK TECHNOLOGIES,20181231,100.0
2186,BK TECHNOLOGIES,20191231,100.0
2186,BK TECHNOLOGIES,20201231,99.0
2186,BK TECHNOLOGIES,20211231,100.0
2186,BK TECHNOLOGIES,20221231,100.0
2969,AIR PRODUCTS & CHEMICALS INC /DE/,20180930,100.0
2969,AIR PRODUCTS & CHEMICALS INC /DE/,20190930,100.0
2969,"AIR PRODUCTS & CHEMICALS, INC.",20210930,100.0
2969,"AIR PRODUCTS & CHEMICALS, INC.",20220930,100.0
2969,"AIR PRODUCTS & CHEMICALS, INC.",20230930,100.0
3570,CHENIERE ENERGY INC,20171231,100.0
3570,CHENIERE ENERGY INC,20181231,97.0
3570,CHENIERE ENERGY INC,20191231,97.0
3570,CHENIERE ENERGY INC,20201231,100.0
3570,CHENIERE ENERGY INC,20211231,100.0
3570,CHENIERE ENERGY INC,20221231,100.0
4187,INDUSTRIAL SERVICES OF AMERICA INC,20171231,100.0
4187,INDUSTRIAL SERVICES OF AMERICA INC,20181231,100.0
4447,HESS CORP,20171231,100.0
4447,HESS CORP,20181231,100.0
4447,HESS CORP,20191231,100.0
4447,HESS CORP,20211231,100.0
4447,HESS CORP,20221231,100.0
6176,AMPCO PITTSBURGH CORP,20211231,100.0
6176,AMPCO PITTSBURGH CORP,20221231,100.0
6494,ANDREA ELECTRONICS CORP,20171231,100.0
6494,ANDREA ELECTRONICS CORP,20201231,100.0
6494,ANDREA ELECTRONICS CORP,20211231,100.0
6769,APACHE CORP,20191231,100.0
6769,APACHE CORP,20201231,100.0
6769,APACHE CORP,20211231,100.0
6885,STAGE STORES INC,20180131,100.0
6885,STAGE STORES INC,20190131,100.0
6951,APPLIED MATERIALS INC /DE,20181031,100.0
6951,APPLIED MATERIALS INC /DE,20191031,100.0
7536,ARROW ELECTRONICS INC,20171231,100.0
7536,ARROW ELECTRONICS INC,20181231,100.0
7536,ARROW ELECTRONICS INC,20191231,100.0
7536,"ARROW ELECTRONICS, INC",20211231,100.0
