CIK,Company_Name,Date,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16
2098,ACME UNITED CORP,20171231,0.32587123,-0.03797014,0.16827065,0.17890249,0.19899991,-0.215567,-0.4806139,-0.47156626,0.010799296,0.20115978,0.54631317,-0.09483049,0.21893728,-0.24093431,-0.21853787,0.48460114
2098,ACME UNITED CORP,20181231,0.29296142,-0.026602283,0.14660686,0.18144958,0.16539907,-0.22001,-0.47183582,-0.46452397,0.0053725615,0.205585,0.5422683,-0.093695074,0.22236082,-0.23364133,-0.19644125,0.4834102
2098,ACME UNITED CORP,20191231,0.28671205,-0.031340033,0.1366337,0.18619052,0.16100271,-0.2232368,-0.47936296,-0.46317762,0.006932199,0.20539317,0.54529727,-0.09387612,0.2221628,-0.23287012,-0.19455448,0.4743924
2098,ACME UNITED CORP,20201231,0.2660857,-0.03498602,0.119468816,0.19603625,0.13989812,-0.21985918,-0.47507477,-0.45178002,0.0071219243,0.19973087,0.53859174,-0.10057749,0.22722165,-0.23331939,-0.18504578,0.4729294
2098,ACME UNITED CORP,20211231,0.25397062,-0.024729148,0.11734439,0.19171041,0.124240644,-0.21612377,-0.46012074,-0.44725466,0.0025132112,0.19872251,0.529812,-0.10242186,0.23108675,-0.23013026,-0.17486,0.48449987
2098,ACME UNITED CORP,20221231,0.26463938,-0.023972645,0.12696561,0.19198187,0.13196117,-0.21610823,-0.4588432,-0.44901347,0.0024812445,0.1999704,0.5299674,-0.10420968,0.22841714,-0.23312958,-0.17779456,0.48629245
2178,"ADAMS RESOURCES & ENERGY, INC.",20171231,0.7956,-0.04731515,-0.022403434,0.044895515,0.7082859,-0.008039633,-0.585319,-0.32777476,0.19063424,-0.45300293,0.3120995,0.3409748,0.36130628,-0.07490099,-0.7726212,0.7075475
2178,"ADAMS RESOURCES & ENERGY, INC.",20181231,0.39123628,-0.11132922,-0.000105045736,0.064937845,0.3320044,-0.072057985,-0.52159965,-0.36098224,0.05831512,-0.09192979,0.457122,0.12630785,0.3023123,-0.12278905,-0.4257974,0.580929
2178,"ADAMS RESOURCES & ENERGY, INC.",20191231,0.27967596,-0.06228897,0.096573226,0.16679814,0.16713516,-0.20202197,-0.49293867,-0.43860513,0.005838752,0.16248687,0.53826606,-0.06990088,0.23823623,-0.20882872,-0.2118465,0.4857815
2178,"ADAMS RESOURCES & ENERGY, INC.",20201231,0.38867724,-0.057802543,0.20737273,0.22808795,0.25566176,-0.22808206,-0.5092891,-0.47838038,0.052753843,0.19636102,0.54793286,-0.12633257,0.22155884,-0.29403213,-0.2821552,0.4749089
2178,"ADAMS RESOURCES & ENERGY, INC.",20221231,0.287445,-0.048718184,0.12633422,0.20068885,0.16155836,-0.22417177,-0.49162048,-0.4542814,0.013841361,0.19403258,0.5464648,-0.09918736,0.22575475,-0.23920143,-0.20407309,0.4642068
2186,BK TECHNOLOGIES,20171231,0.28311765,-0.04885848,0.12473496,0.20577368,0.15971059,-0.22289164,-0.49118656,-0.4545983,0.01571747,0.19732058,0.5457995,-0.10469672,0.22475645,-0.24048087,-0.20067982,0.46178764
2186,BK TECHNOLOGIES,20181231,0.31888866,-0.044926763,0.15770262,0.2127897,0.19001663,-0.22483245,-0.48895922,-0.46332407,0.026443534,0.20127079,0.543103,-0.11768338,0.22020625,-0.25966406,-0.22087616,0.46836364
2186,BK TECHNOLOGIES,20191231,0.2791161,-0.052472994,0.11601903,0.20548652,0.16018239,-0.22731291,-0.50065106,-0.45665526,0.01604212,0.19888608,0.55131763,-0.10000478,0.2225783,-0.23630556,-0.19899075,0.45144576
2186,BK TECHNOLOGIES,20201231,0.23411986,-0.030815914,0.096376725,0.1902274,0.11317863,-0.21684173,-0.46845177,-0.44469064,0.0030393861,0.19442797,0.5312978,-0.09529766,0.23558185,-0.22358426,-0.17221746,0.47717285
2186,BK TECHNOLOGIES,20211231,0.25538272,-0.040642217,0.1056548,0.19594017,0.1352679,-0.22091894,-0.48281765,-0.4519343,0.0076656714,0.19836326,0.5418992,-0.09635234,0.22876307,-0.22961351,-0.18343835,0.46451983
2186,BK TECHNOLOGIES,20221231,0.24396998,-0.033641398,0.09985874,0.19225699,0.12410491,-0.22168471,-0.47712293,-0.44932735,0.0056215227,0.19790071,0.53821474,-0.09375459,0.23070958,-0.22510786,-0.17683002,0.46749657
2969,AIR PRODUCTS & CHEMICALS INC /DE/,20180930,0.6347278,2.979311,-0.2636857,2.278672,-0.23973227,-1.2464123,0.33757758,0.04803714,1.7939235,0.07149093,-0.8527757,-1.7427939,0.25087786,-1.5091668,-0.14417449,1.6170244
2969,AIR PRODUCTS & CHEMICALS INC /DE/,20190930,0.63099164,2.972001,-0.26821476,2.2775536,-0.24175286,-1.2453399,0.3340932,0.05184278,1.7937392,0.06615219,-0.8507985,-1.7399143,0.25076485,-1.5034168,-0.14658448,1.6099262
2969,"AIR PRODUCTS & CHEMICALS, INC.",20210930,0.59305006,3.0113704,-0.3267219,2.5630114,-0.18470588,-1.328331,0.21228528,0.1671862,2.108842,-0.07317467,-0.8934734,-1.6481161,0.3406654,-1.631197,-0.50943065,1.5072298
2969,"AIR PRODUCTS & CHEMICALS, INC.",20220930,0.6310501,2.9852111,-0.2577663,2.3286345,-0.2458429,-1.2669938,0.33048797,0.045649588,1.827255,0.060964543,-0.8557391,-1.7438078,0.2811525,-1.5454851,-0.19774894,1.6142757
