CIK,Company_Name,Filing_Year_End,ZF1,ZF2,ZF3,ZF4,ZF5,ZF6,ZF7,ZF8,ZF9,ZF10,ZF11,ZF12,ZF13,ZF14,ZF15,ZF16,ZT1,ZT2,ZT3,ZT4,ZT5,ZT6,ZT7,ZT8,ZT9,ZT10,ZT11,ZT12,ZT13,ZT14,ZT15,ZT16,Alignment_Similarity
0000002098,ACME UNITED CORP,2019,-0.27349502,-0.23872402,-0.19549097,-0.37879363,-0.16201381,0.24276097,-0.07629999,0.41297418,-0.044856913,0.45406762,0.17758454,0.23316428,-0.11469809,-0.15761931,-0.063533135,0.2980468,-0.3257575,-0.10603706,-0.15125139,-0.30753338,-0.29182708,0.32999346,-0.22471426,0.23641823,-0.1193918,0.49090117,0.15587051,0.17267364,-0.22287937,-0.1771478,0.046888303,0.2685709,0.92938936
0000002098,ACME UNITED CORP,2020,-0.27496955,-0.23246676,-0.19484897,-0.392139,-0.17290968,0.23702773,-0.083977714,0.40276325,-0.025871478,0.4682247,0.17374815,0.20556623,-0.119263366,-0.18376116,-0.06302533,0.2809765,-0.32923222,-0.10119307,-0.16273321,-0.33343554,-0.2575164,0.31462216,-0.1998719,0.24875708,-0.12633078,0.4965579,0.14816234,0.16633298,-0.2190059,-0.20444772,0.028402897,0.27176678,0.9465539
0000002098,ACME UNITED CORP,2021,-0.27794507,-0.22269557,-0.19258592,-0.40393525,-0.1791176,0.23605798,-0.094664305,0.38843158,-0.021145713,0.4762224,0.1735884,0.19221275,-0.1226131,-0.199919,-0.061768886,0.2685567,-0.32844797,-0.0679265,-0.18427366,-0.31956923,-0.2826303,0.32363752,-0.21065888,0.23202558,-0.10773383,0.502656,0.15243906,0.095402546,-0.22770438,-0.24559322,0.033992086,0.24220376,0.9344979
0000002098,ACME UNITED CORP,2022,-0.27562445,-0.20710579,-0.1943714,-0.39066878,-0.17744222,0.25477105,-0.10175699,0.37406394,-0.031440113,0.48659545,0.17683591,0.19290264,-0.13715841,-0.20764875,-0.049522646,0.2709885,-0.3192278,-0.049576018,-0.18326408,-0.31656626,-0.32589275,0.3182188,-0.22511014,0.20901355,-0.05847191,0.5154861,0.1493218,0.022134416,-0.22960198,-0.2803414,0.056631513,0.18318826,0.9174279
0000002178,"ADAMS RESOURCES & ENERGY, INC.",2019,-0.123660356,-0.0053610397,-0.19487679,-0.25104162,-0.37833917,0.16573606,-0.20067415,0.0022790073,0.32723197,0.3860729,0.091786794,-0.3668365,-0.17647816,-0.46202126,0.0654223,-0.15741973,-0.22018535,-0.09323417,-0.15672559,-0.3946261,-0.31841034,0.21844089,-0.16036406,0.147184,0.20118655,0.52068114,0.10911971,-0.18857034,-0.14821371,-0.42511103,0.062329672,-0.020722603,0.92247725
0000002178,"ADAMS RESOURCES & ENERGY, INC.",2020,-0.2541502,-0.18502669,-0.21028572,-0.3972641,-0.25990868,0.23485881,-0.1377711,0.29440978,0.079802126,0.5233436,0.16339724,0.04641112,-0.17171238,-0.29800585,-0.054250106,0.20104612,-0.21776345,-0.08811025,-0.16152927,-0.39461243,-0.3111815,0.2144094,-0.16098034,0.15771154,0.19140586,0.5218371,0.11090437,-0.18875736,-0.14665326,-0.43290275,0.058443204,-0.014320465,0.9081009
0000002186,BK TECHNOLOGIES,2019,-0.27564952,-0.16581488,-0.16605914,-0.35339922,-0.20787996,0.27292445,-0.1149779,0.33502537,0.0030184274,0.5193917,0.16895966,0.09569026,-0.17949574,-0.2934941,-0.0040742317,0.27392966,-0.22935474,-0.027916027,-0.14967707,-0.3280705,-0.39771232,0.25574592,-0.24808249,0.16923255,0.09201289,0.5254716,0.13871859,-0.1459046,-0.1665034,-0.37581918,0.08958685,0.026664166,0.87614846
0000002186,BK TECHNOLOGIES,2020,-0.25725263,-0.13584699,-0.16847852,-0.36368412,-0.24683526,0.26940614,-0.13107356,0.29459944,0.055457637,0.5333474,0.16773102,0.0024682463,-0.19014125,-0.35459173,0.019740982,0.19820587,-0.26489034,0.00853547,-0.17170103,-0.21370688,-0.45967793,0.2945256,-0.30599666,0.10627912,0.019049788,0.4952469,0.15987535,-0.12992463,-0.23752335,-0.2969202,0.12393932,0.06014326,0.89436984
0000002186,BK TECHNOLOGIES,2021,-0.14760487,0.03444509,-0.109018944,-0.2167155,-0.4284148,0.34971884,-0.27690935,0.058507018,0.06759945,0.4391381,0.22292455,-0.2195733,-0.19581218,-0.41016692,0.17094772,-0.033303436,-0.36474094,-0.04591528,-0.22043525,-0.13464037,-0.32268894,0.33847848,-0.21155153,0.17011227,-0.2618281,0.34340277,0.072025284,0.24623515,-0.36847088,-0.0027567293,0.14916345,0.30890295,0.6142014
0000002186,BK TECHNOLOGIES,2022,-0.16833436,0.012086878,-0.1167342,-0.2677993,-0.41069978,0.3100333,-0.26364896,0.07906406,0.09929565,0.44931537,0.20550832,-0.2283742,-0.17715436,-0.42850208,0.14659607,-0.0547435,-0.26345858,-0.0031060076,-0.1669806,0.0047304127,-0.23590682,0.3871016,-0.23465756,0.12913284,-0.406762,0.20725346,0.114509076,0.3562426,-0.2953197,0.13214333,0.12652631,0.39537454,0.33902135
0000002969,"AIR PRODUCTS & CHEMICALS, INC.",2023,0.09388296,0.28986982,0.12605956,0.44728553,-0.26658356,0.3394161,-0.28022212,-0.15401073,-0.44660205,-0.029237544,0.1993972,0.06196675,-0.15186478,0.19772808,0.28759947,0.11795008,-0.22114733,-0.20887224,-0.11211373,-0.27594706,-0.110190935,0.3094409,-0.11104579,0.39259112,-0.14490004,0.43555546,0.2158065,0.31429031,-0.14838283,-0.113019526,-0.020998374,0.39129022,0.040976137
0000003570,CHENIERE ENERGY INC,2019,-0.3071286,-0.15877347,-0.16103527,-0.2040856,-0.16682155,0.3726738,-0.13898008,0.30566987,-0.21144968,0.3786178,0.24230815,0.34754437,-0.16992424,-0.06741335,0.04000878,0.3617081,-0.20048295,-0.039115462,-0.13239123,-0.011413003,-0.20561704,0.42158055,-0.2697409,0.18628901,-0.36814025,0.28055897,0.23147787,0.37520766,-0.15563482,0.09865335,0.0662767,0.40767136,0.91774166
0000003570,CHENIERE ENERGY INC,2020,-0.2788898,-0.12760319,-0.15719926,-0.15744688,-0.15021211,0.39306316,-0.15562902,0.27687523,-0.2731274,0.35132417,0.22882313,0.39315695,-0.16562241,-0.018913276,0.05058357,0.378401,-0.21256983,-0.065626174,-0.1436223,-0.03529838,-0.16791683,0.40087134,-0.2387816,0.22057568,-0.36022264,0.28283376,0.22176586,0.39953774,-0.14637916,0.10221561,0.036666937,0.42694795,0.9681187
0000003570,CHENIERE ENERGY INC,2021,-0.28719112,-0.15593317,-0.15404327,-0.21134084,-0.14285395,0.36562347,-0.14328398,0.31173012,-0.23255983,0.38218027,0.21418212,0.365884,-0.16114645,-0.05226393,0.027082408,0.37907007,-0.20288612,-0.05073432,-0.13985954,-0.011757268,-0.16314052,0.4055246,-0.24045667,0.2149657,-0.37768468,0.26594618,0.22572656,0.39917675,-0.14484172,0.11217496,0.04237045,0.427135,0.92765915
0000003570,CHENIERE ENERGY INC,2022,-0.2663514,-0.18065508,-0.1754108,-0.30548358,-0.19972086,0.30355445,-0.16124144,0.3245509,-0.122406915,0.47936258,0.16171615,0.26467046,-0.17562774,-0.14441143,-0.018309232,0.34052345,-0.23649552,-0.10217197,-0.15846486,-0.093846545,-0.15938419,0.39051983,-0.21463121,0.26332074,-0.3124846,0.3285458,0.22237548,0.38880947,-0.14500894,0.0642853,0.019492907,0.41790703,0.90110385
0000004447,HESS CORP,2019,-0.2819547,-0.22218531,-0.18485753,-0.3824912,-0.17777064,0.24822426,-0.0954465,0.38310334,-0.03514779,0.4755844,0.1779875,0.20366496,-0.1365028,-0.1947667,-0.0521125,0.28584942,-0.26595235,-0.14610776,-0.17055804,-0.4063205,-0.25123298,0.2268352,-0.13243154,0.27135164,0.12500136,0.54858863,0.14568755,-0.037965097,-0.13976084,-0.3712381,0.015876997,0.10559078,0.90739954
0000006769,APACHE CORP,2021,-0.25913015,-0.23196721,-0.21909198,-0.40096796,-0.16390036,0.22986306,-0.08301572,0.39878637,0.012333433,0.49709067,0.15899909,0.1602219,-0.123156324,-0.20438719,-0.06506786,0.2554706,-0.27657205,-0.17422003,-0.18736583,-0.4073791,-0.18788962,0.24290301,-0.09573154,0.31391764,0.085303426,0.5456329,0.1687653,0.034176677,-0.124979034,-0.3359108,-0.01819333,0.1632477,0.9677678
0000008328,"APPLIED MINERALS, INC.",2019,0.14941175,0.28983763,0.07193846,0.23939401,-0.4235105,0.34369415,-0.31495336,-0.315505,-0.0796927,0.01691101,0.21548465,-0.317509,-0.08488666,-0.13802923,0.3112606,-0.24069951,0.15338981,0.33080664,0.07579136,0.30510974,-0.39361313,0.37572426,-0.33652365,-0.27507114,-0.20967595,-0.00589109,0.21592999,-0.22754963,-0.11528382,-0.05866687,0.3304273,-0.12195244,0.97137666
0000008328,"APPLIED MINERALS, INC.",2020,0.0020771346,0.17996617,-0.0153434295,0.3071085,-0.24342294,0.42201027,-0.2931813,-0.036124595,-0.5348038,0.07203708,0.24708834,0.24571963,-0.1239977,0.19693553,0.18128985,0.22088194,0.14906551,0.3314401,0.06746275,0.30284655,-0.39153633,0.38294974,-0.33689064,-0.27164796,-0.22349805,-0.002234047,0.22081478,-0.21511658,-0.120049305,-0.05958954,0.33052456,-0.11054695,0.67715263
0000008328,"APPLIED MINERALS, INC.",2021,-0.06384723,0.13921823,-0.062339786,0.27028054,-0.16354416,0.38445744,-0.25953263,0.0037201266,-0.53794414,0.046510864,0.20411299,0.3208156,-0.16244222,0.24763212,0.1582522,0.32983926,0.12948786,0.33087593,0.051405318,0.29420722,-0.399501,0.3877789,-0.34241366,-0.26259363,-0.23506455,0.01191406,0.2227093,-0.20571736,-0.13420027,-0.06614758,0.3302099,-0.09817066,0.54818326
0000008670,AUTOMATIC DATA PROCESSING INC,2020,-0.30861098,-0.20292288,-0.18460354,-0.25822252,-0.10714258,0.3342997,-0.09176623,0.37797448,-0.13425085,0.42407432,0.21629761,0.27036235,-0.14159964,-0.1222796,0.0044377935,0.36815396,-0.26415697,-0.1925923,-0.14581107,-0.30828345,-0.1347487,0.31661457,-0.11140496,0.37058234,-0.10494985,0.45654327,0.18413381,0.23944773,-0.18599465,-0.17418654,-0.016060986,0.36442533,0.99169433
0000008868,AVON PRODUCTS INC,2020,-0.2742055,-0.19633879,-0.15644068,-0.3417194,-0.19097075,0.2792578,-0.103925005,0.36640757,-0.055397406,0.48774004,0.17364474,0.20348725,-0.14981379,-0.2217913,-0.02245271,0.3175663,-0.21187355,-0.19886638,-0.10705759,-0.2344353,-0.09920964,0.3185844,-0.109298006,0.37952843,-0.19740686,0.39990485,0.2197487,0.36128417,-0.15900299,-0.05780996,-0.011586937,0.41874415,0.9398776
0000008868,AVON PRODUCTS INC,2021,-0.26800498,-0.15991874,-0.15015881,-0.4003542,-0.22756691,0.21746704,-0.10354736,0.31798398,0.09789341,0.53270143,0.14695407,-0.0065883924,-0.15111114,-0.38000074,-0.010005294,0.16286708,-0.21653323,-0.19675381,-0.1115119,-0.24130072,-0.09740331,0.31800967,-0.10711262,0.3838816,-0.19000997,0.4062997,0.21887083,0.34744042,-0.16089077,-0.07369028,-0.015195834,0.4158546,0.77523506
0000008868,AVON PRODUCTS INC,2022,-0.064166866,0.1331726,-0.053836815,-0.110081375,-0.4640934,0.3228549,-0.3189332,-0.08364448,0.083189644,0.3144906,0.22067201,-0.34271806,-0.14454573,-0.3864413,0.22861916,-0.20081058,-0.22129273,-0.20024312,-0.11339093,-0.25100923,-0.098647974,0.31566554,-0.10415316,0.38780418,-0.17547274,0.41537106,0.21762334,0.3350722,-0.16162735,-0.087526366,-0.016839195,0.40917984,0.19013487
0000008947,AZZ INC,2020,-0.27255455,-0.21425574,-0.20165023,-0.42077798,-0.18861887,0.22379865,-0.10346078,0.37137124,0.019983154,0.50084674,0.16233498,0.13598007,-0.1303719,-0.2389031,-0.061857622,0.23199119,-0.2750567,-0.16471334,-0.15237164,-0.3181752,-0.16733177,0.31112072,-0.14767641,0.36236733,-0.10969428,0.4737285,0.17387126,0.20616777,-0.1759395,-0.19579881,-0.015902411,0.34075445,0.9669911
0000010048,BARNWELL INDUSTRIES INC,2020,-0.28099173,-0.108628236,-0.26266345,-0.19260408,-0.22506623,0.37126824,-0.21451174,0.28231832,-0.12242479,0.44702005,0.18229423,0.17802495,-0.3281429,-0.11715467,0.08995971,0.2823238,-0.31593406,-0.13390113,-0.19694549,-0.3754415,-0.25960308,0.27905756,-0.15638793,0.26011354,0.026215537,0.53009087,0.14241484,0.045709506,-0.1866134,-0.30050352,0.012113939,0.18921058,0.91517746
0000010048,BARNWELL INDUSTRIES INC,2021,-0.2708298,-0.21257585,-0.23230381,-0.28532282,-0.13923497,0.31667778,-0.10146542,0.3789887,-0.100740574,0.45357582,0.19652113,0.27172235,-0.15841697,-0.102488734,-0.022858163,0.32868534,-0.30882645,-0.12842646,-0.20211118,-0.36571875,-0.27938926,0.2828201,-0.1655574,0.25318423,0.04073149,0.53295046,0.14812127,0.028069885,-0.18286297,-0.30380777,0.0188003,0.17164542,0.8939142
0000010048,BARNWELL INDUSTRIES INC,2022,-0.3221784,-0.18991083,-0.21730843,-0.2453665,-0.14404811,0.33954468,-0.12908559,0.34068906,-0.1301267,0.43282732,0.220083,0.25844532,-0.18604265,-0.10548781,0.014151037,0.34422672,-0.30709633,-0.13017002,-0.20136073,-0.36243373,-0.28857452,0.2900431,-0.17458339,0.24762082,0.0397523,0.53214043,0.15156265,0.036413215,-0.17980279,-0.29398352,0.021693658,0.17137933,0.89497834
0000010048,BARNWELL INDUSTRIES INC,2023,-0.30431125,-0.19140731,-0.20845644,-0.25762242,-0.15455472,0.34439254,-0.10420643,0.3693957,-0.11431825,0.43356496,0.22633517,0.26102936,-0.16456932,-0.12832244,0.012124332,0.32714066,-0.31492317,-0.15538849,-0.19701348,-0.36213434,-0.25258663,0.2959074,-0.16277754,0.27906352,0.0016377092,0.5219148,0.15602753,0.11093087,-0.17115209,-0.25073823,0.0030547332,0.22308737,0.9446611
0000010795,BECTON DICKINSON & CO,2020,-0.28571227,-0.21219485,-0.20567816,-0.2967133,-0.1537615,0.31436184,-0.08462708,0.39086753,-0.08574344,0.44433403,0.21130916,0.25322768,-0.14481494,-0.1414898,-0.016127983,0.325243,-0.22039974,-0.16987926,-0.14186521,-0.29994372,-0.13862726,0.32272273,-0.1170895,0.3518412,-0.19103312,0.45543638,0.2150313,0.30774462,-0.13115636,-0.10910588,-0.020153256,0.37044582,0.9847477
0000010795,BECTON DICKINSON & CO,2021,-0.2663366,-0.23414785,-0.22318406,-0.34778136,-0.14919548,0.26782447,-0.075799644,0.4094348,-0.050230272,0.45714334,0.18597256,0.24010886,-0.1280866,-0.13828069,-0.055615533,0.30617484,-0.2220647,-0.17458571,-0.14498201,-0.31645197,-0.1425995,0.3182732,-0.11372089,0.3555238,-0.16596326,0.47056502,0.21537533,0.285691,-0.12785557,-0.13366915,-0.021310687,0.35557535,0.9801537
